"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase"
"3",0,1e+05,1e+07,0,0,0,1e+07,1e+09,1,"conj"
"4",0.01,100480.198019802,10067326.7326733,0,0.0227722772277228,0.0161386138613861,10052970.2581188,999879222.772277,1,"conj"
"5",0.02,100962.701363932,10135106.6731778,0,0.0458844406568792,0.0325805823211781,10106221.0371572,999757709.509836,1,"conj"
"6",0.03,101447.521093297,10203342.8712052,0,0.0693404555247657,0.0493302960136208,10159753.821958,999635455.667073,1,"conj"
"7",0.04,101934.668321799,10272038.396955,0,0.0931443297115416,0.0663922034453832,10213570.1052143,999512456.669972,1,"conj"
"8",0.05,102424.154216592,10341196.3412717,0,0.11730011418359,0.0837708117263509,10267671.3875116,999388707.915929,1,"conj"
"9",0.06,102915.989998333,10410819.8157841,0,0.141811903441416,0.101470687309445,10322059.1773691,999264204.773566,1,"conj"
"10",0.07,103410.186941439,10480911.9530445,0,0.16668383597213,0.119496456739581,10376734.9912815,999138942.582552,1,"conj"
"11",0.08,103906.756374343,10551475.9066691,0,0.191920094706561,0.137852807411873,10431700.3537609,999012916.653423,1,"conj"
"12",0.09,104405.709679753,10622514.8514799,0,0.217524907481047,0.156544488339205,10486956.7973796,998886122.267391,1,"conj"
"13",0.1,104907.05829491,10694031.9836466,0,0.243502547503953,0.175576310929274,10542505.862812,998758554.676168,1,"conj"
"14",0.11,105410.81371185,10766030.5208301,0,0.269857333826958,0.19495314977123,10598349.0988778,998630209.10177,1,"conj"
"15",0.12,105916.987477661,10838513.7023268,0,0.296593631821167,0.214679943432019,10654488.0625847,998501080.736337,1,"conj"
"16",0.13,106425.591194754,10911484.7892142,0,0.323715853658093,0.234761695262558,10710924.3191714,998371164.741942,1,"conj"
"17",0.14,106936.636521118,10984947.0644964,0,0.351228458795559,0.255203474213859,10767659.4421515,998240456.250399,1,"conj"
"18",0.15,107450.135170591,11058903.8332519,0,0.379135954468564,0.27601041566321,10824695.0133566,998108950.363074,1,"conj"
"19",0.16,107966.098913126,11133358.4227819,0,0.407442896185182,0.297187722250567,10882032.6229805,997976642.150694,1,"conj"
"20",0.17,108484.539575058,11208314.1827589,0,0.436153888227517,0.31874066472524,10939673.8696231,997843526.653148,1,"conj"
"21",0.18,109005.469039371,11283774.4853774,0,0.465273584157792,0.340674582803037,10997620.3603348,997709598.8793,1,"conj"
"22",0.19,109528.899245973,11359742.7255049,0,0.494806687329611,0.362994886033969,11055873.710661,997574853.806786,1,"conj"
"23",0.2,110054.842191963,11436222.3208341,0,0.524757951404437,0.385707054680651,11114435.544687,997439286.381822,1,"conj"
"24",0.21,110583.309931907,11513216.7120362,0,0.555132180873369,0.408816640607538,11173307.4950826,997302891.519,1,"conj"
